_Start_
Successfully init Motor aansturing
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5186765
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5189247
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5197277
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5205350
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5213422
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5221495
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5229567
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5237639
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5245712
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5253784
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5261857
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5269929
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5278001
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5286074
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5294146
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5302219
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5310291
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5318363
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5326436
Encoder:  0 | 0         --       Error: 100 | 100       --       Left: 200 | Right: 200 --       Time: 1063472 5334508
Encoder:  43 | 0        --       Error: 79 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5342581
Encoder:  43 | 0        --       Error: 79 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5350653
Encoder:  43 | 0        --       Error: 79 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5358725
Encoder:  43 | 0        --       Error: 79 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5366798
Encoder:  47 | 0        --       Error: 77 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5374870
Encoder:  47 | 0        --       Error: 77 | 100        --       Left: 200 | Right: 200 --       Time: 1063472 5382943
